ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_original
2024-04-01,1.0376421234287103,13.426823702742473,13.551052711628733,1.0376421234287103,1.0376421234287103,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,0.0,0.0,0.0,13.48923853953766,721607.8698225223
2024-04-08,1.0563334051041784,13.448298488685051,13.568571066021576,1.0563334051041784,1.0563334051041784,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,0.0,0.0,0.0,13.507929821213128,735222.5055942797
2024-04-15,1.0750246866992308,13.464152966559048,13.589221249905483,1.0750246866992308,1.0750246866992308,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,0.0,0.0,0.0,13.526621102808178,749094.0094166921
2024-04-22,1.0937159679467032,13.486333020173955,13.604231355184858,1.0937159679467032,1.0937159679467032,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,0.0,0.0,0.0,13.545312384055652,763227.227427771
2024-04-29,1.1124072487662435,13.501671454252374,13.62914513159394,1.1124072487662435,1.1124072487662435,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,0.0,0.0,0.0,13.564003664875193,777627.097331546
2024-05-06,1.1310985300777616,13.5214258005553,13.647188204928103,1.1310985300777616,1.1310985300777616,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,0.0,0.0,0.0,13.58269494618671,792298.6507806809
2024-05-13,1.150212140023617,13.536885133562425,13.665740389321696,1.150212140023617,1.150212140023617,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,0.0,0.0,0.0,13.601808556132566,807588.009213595
2024-05-20,1.1851252070660045,13.570915320293585,13.696038426428498,1.1851252070660045,1.1851252070660045,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,0.0,0.0,0.0,13.636721623174953,836281.3908897935
2024-05-27,1.2200382741750024,13.613098599537956,13.73390397974507,1.2200382741750024,1.2200382741750024,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,0.0,0.0,0.0,13.671634690283952,865994.239385388
2024-06-03,1.2318458548027014,13.619565576182293,13.749263703047276,1.2318458548027014,1.2318458548027014,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,0.0,0.0,0.0,13.68344227091165,876280.1543789214
2024-06-10,1.2425639176461882,13.632798228553577,13.75579518740207,1.2425639176461882,1.2425639176461882,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,0.0,0.0,0.0,13.694160333755137,885722.7033828981
2024-06-17,1.2519709169024575,13.64207353947809,13.767797316187606,1.2519709169024575,1.2519709169024575,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,0.0,0.0,0.0,13.703567333011408,894094.018346178
2024-06-24,1.261302275527316,13.650211118900124,13.77516712512657,1.261302275527316,1.261302275527316,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,0.0,0.0,0.0,13.712898691636264,902476.1872968253
2024-07-01,1.270633634152175,13.656196776663172,13.782898380083552,1.270633634152175,1.270633634152175,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,0.0,0.0,0.0,13.722230050261123,910936.9393453297
2024-07-08,1.2799649927770338,13.667717646263602,13.790545691594614,1.2799649927770338,1.2799649927770338,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,0.0,0.0,0.0,13.731561408885982,919477.0112107046
2024-07-15,1.2892963514018925,13.680505306184056,13.807979172472608,1.2866373826187347,1.2916643024437464,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,0.0,0.0,0.0,13.740892767510843,928097.1465187325
2024-07-22,1.2986277100267514,13.690228538491285,13.814219217867079,1.2905180608002893,1.3064814521280648,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,0.0,0.0,0.0,13.7502241261357,936798.0958667045
2024-07-29,1.3079590686516098,13.694165202692913,13.830145351012117,1.2923880551850164,1.3236137225379099,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,12.451596416108949,0.0,0.0,0.0,13.759555484760558,945580.616888793
2024-08-05,1.3172904272764687,13.703936002047895,13.837146885500276,1.2933059743646202,1.34318837573432,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,12.45159641610895,0.0,0.0,0.0,13.768886843385419,954445.4743220148
